beetle_ID,population,core_edge,weight,weight_date,sex,eclosion
Lc_149,Lc,edge,10.8,11-Oct,f,10/11/2018
Lc_150,Lc,edge,11.2,11-Oct,f,10/11/2018
Lc_137,Lc,edge,10.5,9-Oct,f,10/9/2018
Lc_155,Lc,edge,9.6,11-Oct,f,10/11/2018
Lc_162,Lc,edge,10.2,11-Oct,f,10/11/2018
Lc_139,Lc,edge,11.3,10-Oct,f,10/10/2018
Lc_142,Lc,edge,10.3,10-Oct,f,10/10/2018
Lc_148,Lc,edge,9.2,10-Oct,f,10/10/2018
Lc_138,Lc,edge,10.7,9-Oct,f,10/9/2018
Lc_152,Lc,edge,9.2,11-Oct,f,10/11/2018
Lc_169,Lc,edge,9.5,12-Oct,f,10/12/2018
Lc_153,Lc,edge,9.6,11-Oct,f,10/11/2018
Lc_154,Lc,edge,10.3,11-Oct,f,10/11/2018
Lc_164,Lc,edge,10.9,11-Oct,f,10/11/2018
Lc_165,Lc,edge,10.9,12-Oct,f,10/12/2018
Lc_140,Lc,edge,8.4,10-Oct,f,10/10/2018
Lc_143,Lc,edge,11.2,10-Oct,f,10/10/2018
Lc_163,Lc,edge,11.6,11-Oct,f,10/11/2018
Lc_146,Lc,edge,12.2,10-Oct,f,10/10/2018
Lc_160,Lc,edge,9.8,11-Oct,f,10/11/2018
Lc_168,Lc,edge,11,12-Oct,f,10/12/2018
Lc_136,Lc,edge,10.9,9-Oct,f,10/9/2018
Lc_157,Lc,edge,9.3,11-Oct,f,10/11/2018
Lc_166,Lc,edge,10.8,12-Oct,f,10/12/2018
Lc_135,Lc,edge,10.1,9-Oct,f,10/9/2018
Lc_156,Lc,edge,11.1,11-Oct,f,10/11/2018
Lc_161,Lc,edge,10.8,11-Oct,f,10/11/2018
Lc_145,Lc,edge,10.3,10-Oct,f,10/10/2018
Lc_151,Lc,edge,13.9,11-Oct,f,10/11/2018
Lc_167,Lc,edge,14.7,12-Oct,f,10/12/2018
Lc_158,Lc,edge,11.9,11-Oct,f,10/11/2018
Lc_159,Lc,edge,10.8,11-Oct,f,10/11/2018
Lj_021,Lj,edge,9.6,10-Oct,f,10/10/2018
Lj_028,Lj,edge,10.3,10-Oct,f,10/10/2018
Lj_043,Lj,edge,7.9,12-Oct,f,10/12/2018
Lj_045,Lj,edge,8.9,12-Oct,f,10/12/2018
Lj_022,Lj,edge,11.2,10-Oct,f,10/10/2018
Lj_032,Lj,edge,9.9,11-Oct,f,10/11/2018
Lj_014,Lj,edge,9.6,9-Oct,f,10/9/2018
Lj_026,Lj,edge,8,10-Oct,f,10/10/2018
Lj_030,Lj,edge,9.7,10-Oct,f,10/10/2018
Lj_034,Lj,edge,11.4,11-Oct,f,10/11/2018
Lj_017,Lj,edge,9.6,9-Oct,f,10/9/2018
Lj_044,Lj,edge,10,12-Oct,f,10/12/2018
Lj_016,Lj,edge,9.7,9-Oct,f,10/9/2018
Lj_023,Lj,edge,7.5,10-Oct,f,10/10/2018
Lj_042,Lj,edge,9.6,12-Oct,f,10/12/2018
Lj_024,Lj,edge,7,10-Oct,f,10/10/2018
Lj_029,Lj,edge,10.2,10-Oct,f,10/10/2018
Lj_037,Lj,edge,11.1,11-Oct,f,10/11/2018
Lj_041,Lj,edge,11.3,12-Oct,f,10/12/2018
Lj_013,Lj,edge,10.8,9-Oct,f,10/9/2018
Lj_018,Lj,edge,9.2,9-Oct,f,10/9/2018
Lj_027,Lj,edge,9.6,10-Oct,f,10/10/2018
Lj_031,Lj,edge,9.2,11-Oct,f,10/11/2018
Lj_035,Lj,edge,11.2,11-Oct,f,10/11/2018
Lj_025,Lj,edge,9.1,10-Oct,f,10/10/2018
Lj_011,Lj,edge,9.2,9-Oct,f,10/9/2018
Lj_019,Lj,edge,10,9-Oct,f,10/9/2018
Lj_020,Lj,edge,11.3,9-Oct,f,10/9/2018
Lj_033,Lj,edge,12.3,11-Oct,f,10/11/2018
